variant_code,variant,description,seed,split,n_eval,wl_token_count,system_token_count,feature_count,rmse,mae,r2,mean_log_predictive_density,coverage_90,predictive_sd_mean,nll
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,9,test,65,8168,0,8168,1.2820426783272545,0.7960584062746204,0.8821695768136059,-1.483926243517374,0.9076923076923077,1.348771930902226,273.5961155447009
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,10,train,577,8168,0,8168,0.021525851056440382,0.00991127170360585,0.9999679331435211,0.7554528695217482,1.0,0.18600400151274638,289.88150852513655
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,10,valid,64,8168,0,8168,1.1507486713715043,0.7405363422135058,0.8858923754094524,-1.482220194275623,0.953125,1.5276869817314407,274.97415345661227
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,10,test,65,8168,0,8168,0.9317847926663062,0.64322387864475,0.9496935264753118,-1.3444160172101867,0.9384615384615385,1.358557310487001,289.88150852513655
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,11,train,577,8168,0,8168,0.02171573486509753,0.009964776620558733,0.9999684637965299,0.7558012914533698,1.0,0.18590117274742532,273.5840093020575
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,11,valid,64,8168,0,8168,1.1759958765160983,0.7344054064937469,0.9048790382101629,-1.5203011690183506,0.953125,1.495594482484103,263.1464107287785
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,11,test,65,8168,0,8168,1.041049257388182,0.6938167498969486,0.918261176317263,-1.4339464894055012,0.9538461538461539,1.5815714606474185,273.5840093020575
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,12,train,577,8168,0,8168,0.026521580622701973,0.012362023600967647,0.9999519859722533,0.6423146337634805,1.0,0.207968630930912,282.02842823205793
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,12,valid,64,8168,0,8168,1.2439931664542427,0.8625866456028519,0.8862694123146417,-1.4962639256625425,0.953125,1.4149243130404283,271.6306484845862
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,12,test,65,8168,0,8168,1.0309347466313852,0.7209619479632501,0.9323901876474138,-1.3964238839727232,0.9692307692307692,1.4198333412156885,282.02842823205793
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,13,train,577,8168,0,8168,0.022113755751696215,0.010066389078712537,0.9999656056450171,0.753284026633558,1.0,0.18632823518690306,286.1566665561396
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,13,valid,64,8168,0,8168,1.3626058025212264,0.9262204145613406,0.9180448770459749,-1.604818239327381,0.890625,1.5580972081909967,293.3558077979521
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,13,test,65,8168,0,8168,1.0242213822134498,0.7158191628386386,0.9469728231851354,-1.4598776032735532,0.9384615384615385,1.4934873518949179,286.1566665561396
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,14,train,577,8168,0,8168,0.01844645368548462,0.008074220980107835,0.9999767595140587,0.8820601880317585,1.0,0.1639470472403242,274.59268233841954
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,14,valid,64,8168,0,8168,1.5015664938554623,0.8805961200503345,0.8566289155705117,-1.872896215846668,0.890625,1.4644601184025006,258.230863705419
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,14,test,65,8168,0,8168,1.0553022296409316,0.691976668262449,0.9291769230387255,-1.493311710440685,0.9384615384615385,1.432684255224616,274.59268233841954
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,15,train,577,8168,0,8168,0.01564857861086947,0.006764327465495266,0.9999836478409357,0.9241524537821832,1.0,0.1574371488728134,280.57890638432974
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,15,valid,64,8168,0,8168,0.978479506924944,0.6672212871783172,0.9234873161160727,-1.4020355326936338,0.953125,1.4103834785047398,274.1678437499657
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,15,test,65,8168,0,8168,1.0371375652885135,0.7116784892266688,0.8983252220308026,-1.3854443165252566,0.9230769230769231,1.3903664005749974,280.57890638432974
B,standard_covalent_graph_wl,atom labels plus a standard covalent bond-order adjacency graph,16,train,577,8168,0,8168,0.02412208189950464,0.010898082031066127,0.9999608761768981,0.7206828229053802,1.0,0.1922976888851606,269.7288251762567
